Cutoff,downstream_distance,time,x,y
0,0.3861184424916982,38.5,"[array([23174.48818925, 23037.31064457, 22894.13921271, 22751.17754674,
       22611.33278496, 22491.2677842 , 22414.43175687, 22398.47842148,
       22445.60215385, 22540.67370064, 22659.28445073, 22778.41404939,
       22883.94482191, 22994.15352272, 23133.25486682, 23257.31341406,
       23289.19449494, 23222.01881562, 23117.22452992, 23046.04825012,
       23056.07155413, 23139.1929521 , 23257.3926048 ])]","[array([24593.57415718, 24634.31977315, 24633.09162171, 24628.84451003,
       24657.85066838, 24735.56419638, 24856.32704566, 24998.62773951,
       25133.89039396, 25240.83508455, 25320.89539501, 25400.07467901,
       25495.89619923, 25588.17243842, 25620.8995346 , 25549.79535689,
       25410.03740681, 25284.10189101, 25184.76804621, 25061.89142884,
       24919.73072378, 24803.10590255, 24722.10221385])]"
1,0.29670752833194924,50.0,"[array([19389.83590795, 19526.75713984, 19646.18377106, 19740.5622899 ,
       19797.10064755, 19800.42093566, 19750.82307413, 19679.84950062,
       19642.97567478, 19688.90870044, 19811.51897368, 19953.49219134,
       20060.28855106, 20113.02004839, 20122.42086655, 20105.42522115,
       20068.45833115, 20008.64999506, 19923.63202213, 19816.20281282,
       19693.98073061, 19568.4091473 , 19457.68205909])]","[array([18323.66868815, 18282.31695469, 18203.65599737, 18096.21197578,
       17964.8096507 , 17821.77485481, 17687.97608413, 17563.75318347,
       17425.68643647, 17290.51187508, 17216.72161523, 17236.51128452,
       17332.116243  , 17465.25233106, 17608.01609495, 17749.9436147 ,
       17887.97774454, 18017.73918388, 18132.57046543, 18226.77160489,
       18300.60322834, 18368.6986045 , 18459.05932738])]"
2,0.34241352134963393,79.5,"[array([21108.80860367, 21245.43133828, 21371.64852556, 21500.03278538,
       21636.18477823, 21776.48480084, 21917.18599558, 22056.86031081,
       22198.03751832, 22339.95887384, 22461.15868845, 22525.96446553,
       22513.04953133, 22429.1172914 , 22300.30798547, 22157.36652038,
       22021.14888793, 21892.16061815, 21759.48036332, 21619.55289597,
       21476.87775602, 21336.2393534 , 21203.95797747])]","[array([22561.22102957, 22519.20712243, 22452.36527909, 22390.28560796,
       22348.01569227, 22322.18995232, 22298.63065881, 22269.90744698,
       22248.73798529, 22264.45644068, 22339.98977331, 22467.40820796,
       22609.9047435 , 22725.84358321, 22788.16594629, 22790.77355641,
       22747.90153801, 22686.69461385, 22634.45254023, 22607.06183913,
       22606.3370582 , 22630.59520363, 22684.26052483])]"
3,0.13808812713939125,88.0,"[array([11439.9364559 , 11543.42049775, 11581.70427605, 11557.03884244,
       11473.70376265, 11343.29631275, 11201.7413516 , 11061.16761123,
       10923.68866767, 10846.34440393, 10872.98581082, 10980.14125148,
       11120.00710545, 11261.37971218, 11394.92158351, 11519.90321476,
       11631.59349649, 11716.53134198, 11756.17527442, 11739.96947215,
       11679.22380024, 11605.57675413, 11558.21449228])]","[array([10575.17145925, 10673.90299417, 10811.78293354, 10952.74335303,
       11069.15214509, 11128.11083878, 11116.87602368, 11086.94789558,
       11122.1457271 , 11241.76966102, 11382.24536854, 11477.220295  ,
       11507.22636118, 11486.49923557, 11436.09193017, 11367.2926618 ,
       11278.47527919, 11163.76630167, 11026.63090262, 10884.84938614,
       10755.8553881 , 10633.54085856, 10499.14448361])]"
4,0.7459891927029414,99.5,"[array([41311.27037546, 41182.7940678 , 41041.08931645, 40900.40020794,
       40771.1841611 , 40661.38995088, 40568.89980175, 40471.2558865 ,
       40344.7581994 , 40202.50006   , 40090.56149891, 40045.92606894,
       40074.04573161, 40158.38348345, 40277.18564454, 40413.29192439,
       40555.68925706, 40696.15827466, 40829.15477898, 40959.06710648,
       41096.67723   , 41238.65887442, 41368.18629046])]","[array([49182.79273253, 49245.1274084 , 49262.34071434, 49238.43274671,
       49177.95513743, 49087.05584989, 48978.60698659, 48874.54891256,
       48809.13982677, 48818.11286304, 48906.80240001, 49042.63783896,
       49182.81553331, 49298.1505285 , 49377.36712639, 49420.30049307,
       49428.98516311, 49404.54305992, 49353.37192922, 49294.51394027,
       49257.71008628, 49268.35719433, 49327.77328051])]"
5,0.5264816350656965,107.5,"[array([30990.95096086, 30882.46148958, 30771.75162057, 30660.28399721,
       30535.38047206, 30393.92194922, 30260.64782033, 30154.76723154,
       30045.85438931, 29907.11299225, 29780.69795612, 29725.60612931,
       29755.51937971, 29847.53226833, 29971.87312221, 30108.10301347,
       30247.7038888 , 30389.22191651, 30531.66271218, 30667.61197663,
       30784.15460266, 30874.8180269 , 30948.6248915 , 31023.54699569,
       31110.86693162])]","[array([34345.68313351, 34438.35310669, 34527.95030666, 34616.88033962,
       34685.80014041, 34703.54922869, 34653.60936945, 34557.79802595,
       34465.37286433, 34435.5432835 , 34501.4030655 , 34633.37925477,
       34773.30638886, 34882.68277236, 34952.87065544, 34995.20339381,
       35023.95898131, 35041.20972744, 35035.24096053, 34992.3791051 ,
       34910.27313845, 34800.2368832 , 34678.25002662, 34557.08911707,
       34444.55799232])]"
6,0.024113830026980705,109.5,"[array([5666.99193263, 5706.93924588, 5703.10395242, 5646.22082116,
       5557.51883838, 5461.97104867, 5359.71835638, 5255.22869952,
       5180.16303127, 5178.30937128, 5261.25090123, 5395.32753209,
       5536.60533763, 5655.78658083, 5742.93273125, 5807.66932532,
       5859.00943029, 5890.43343874, 5892.33242131, 5868.74633164,
       5837.27944827, 5813.01633604, 5802.89006885])]","[array([1643.23301369, 1506.14200482, 1363.34512181, 1232.52516083,
       1120.83632227, 1015.0599612 ,  915.79417134,  818.92629513,
        697.60987156,  554.86143945,  438.44449501,  388.69022657,
        410.8034014 ,  489.60918021,  602.61276934,  729.69707574,
        862.70161415, 1001.78926742, 1144.34382227, 1284.91015047,
       1423.9138818 , 1564.31782136, 1706.46168204])]"
7,0.5742956669733377,110.5,"[array([33928.983736  , 34049.32558207, 34127.90212931, 34168.58122684,
       34198.9567251 , 34251.48090852, 34337.52975808, 34447.64157509,
       34572.02765193, 34708.80003095, 34851.2879927 , 34975.60952455,
       35050.61245267, 35058.60943135, 35002.96099978, 34900.90255756,
       34772.63261932, 34633.70146396, 34492.30939927, 34352.37776977,
       34222.02713525, 34118.31273389, 34059.40064527])]","[array([37895.00892332, 37817.71162975, 37698.43321759, 37561.60347135,
       37422.16185484, 37289.82592367, 37176.2053631 , 37085.4799575 ,
       37015.58006995, 36974.70158713, 36982.85013796, 37053.09425975,
       37174.73632931, 37317.47734892, 37449.14957616, 37549.14796425,
       37611.88208082, 37644.39074824, 37663.08534746, 37690.46714177,
       37748.18870609, 37846.08538792, 37976.06272082])]"
8,0.10354892421017269,129.0,"[array([10502.22512072, 10399.69442962, 10265.32517355, 10122.72553819,
        9992.52389174,  9873.98765615,  9743.13213008,  9600.6900496 ,
        9479.72689988,  9409.30088037,  9398.11066556,  9440.66061299,
        9524.94695666,  9637.22950985,  9766.2275456 ,  9905.05937343,
       10047.68974587, 10179.61351296, 10274.44085858, 10320.68492305,
       10359.18778114, 10446.600186  , 10582.67275086])]","[array([ 9607.56294342,  9706.97649878,  9755.45124303,  9747.09553131,
        9688.83827522,  9609.69817923,  9553.2078288 ,  9558.49489164,
        9634.26650696,  9758.53235773,  9900.93224516, 10037.2386807 ,
       10152.42461466, 10240.44518669, 10301.30581659, 10334.00636618,
       10329.95406015, 10275.32561172, 10168.5301863 , 10033.79097837,
        9896.39739748,  9783.9027712 ,  9740.98144468])]"
9,0.7546349974336312,151.5,"[array([43368.6122999 , 43382.30526068, 43351.03342612, 43292.91646318,
       43233.16600001, 43196.65158228, 43197.02358338, 43231.13810555,
       43288.78776389, 43366.76937136, 43470.02376615, 43599.46134556,
       43741.92525157, 43874.10677973, 43974.13227784, 44028.98707644,
       44035.28552986, 43997.48712993, 43926.22350615, 43836.08686096,
       43742.56999671, 43659.38009588, 43594.77871513, 43547.65715917,
       43509.94906416])]","[array([50194.46209987, 50052.485394  , 49913.45481922, 49783.39040225,
       49654.14020821, 49516.66907941, 49374.35816604, 49236.0783587 ,
       49105.84480319, 48986.63389216, 48888.4677274 , 48828.90497299,
       48823.98688834, 48877.52509456, 48979.21466205, 49110.87170587,
       49253.32294135, 49390.7520186 , 49514.10905749, 49624.37338988,
       49731.71343097, 49847.16013789, 49973.96813801, 50108.30795028,
       50245.57704551])]"
